protocol,nav,ap_from_ap_0_sum_ant_rssi,sta_to_ap_0_sum_ant_rssi,sta_to_ap_1_sum_ant_rssi,sta_from_ap_0_sum_ant_rssi,sta_from_ap_1_sum_ant_rssi,seq_time,pro_pd,pro_ed,pro_nav,state,sinr
1,-82,-83.29787234,-83.875,-67.8,-92,-72.3,,0,0,0,0,27.7
1,-82,-84.43396226,-67.59183673,-85,-68.95,-92,,0,0,0,0,31.05
0,-82,-83.29787234,-83.875,-67.8,-92,-72.3,,0,0,0,0,27.7
0,-82,-84.43396226,-67.59183673,-85,-68.95,-92,,0,0,0,0,31.05
1,-82,-82.26923077,-86.5,-66.04545455,-92,-71.375,,0,0,0,0,28.625
1,-82,-83.30769231,-66.5106383,-83.9,-67.45,-92,,0,0,0,0,32.55
0,-82,-82.26923077,-86.5,-66.04545455,-92,-71.375,,0,0,0,0,28.625
0,-82,-83.30769231,-66.5106383,-83.9,-67.45,-92,,0,0,0,0,32.55
1,-82,-81.34615385,-86.16666667,-66.63829787,-92,-70.675,,0,0,0,0,29.325
1,-82,-82.50943396,-65.56521739,-84.30612245,-66.475,-92,,0,0,0,0,33.525
0,-82,-81.34615385,-86.16666667,-66.63829787,-92,-70.675,,0,0,0,0,29.325
0,-82,-82.50943396,-65.56521739,-84.30612245,-66.475,-92,,0,0,0,0,33.525
1,-82,-80.07843137,-85.83333333,-68.60465116,-92,-70.075,,0.037735849,0.018867925,0.019607843,0,29.925
1,-82,-82.20833333,-67.18604651,-84.52272727,-65.425,-84,,0,0,0,0,34.575
0,-82,-80.07843137,-85.83333333,-68.60465116,-92,-70.075,,0.037735849,0.018867925,0.019607843,0,29.925
0,-82,-82.20833333,-67.18604651,-84.52272727,-65.425,-84,,0,0,0,0,34.575
1,-82,-79.87755102,-81.6,-66.14893617,-92,-69.85,,0.040816327,0,0.040816327,0,30.15
1,-82,-81,-66.63829787,-83.9787234,-64.625,-76.61764706,,0,0,0,0,35.375
0,-82,-79.87755102,-81.6,-66.14893617,-92,-69.85,,0.040816327,0,0.040816327,0,30.15
0,-82,-81,-66.63829787,-83.9787234,-64.625,-76.61764706,,0,0,0,0,35.375
1,-82,-79.03921569,-81.75,-66.63636364,-92,-67.725,,0.057692308,0,0,0,32.275
1,-82,-79.55102041,-65.3902439,-83.52380952,-63.575,-84,,0.038461538,0,0.02,0,36.425
