protocol,nav,ap_from_ap_0_sum_ant_rssi,ap_from_ap_1_sum_ant_rssi,sta_to_ap_0_sum_ant_rssi,sta_to_ap_1_sum_ant_rssi,sta_to_ap_2_sum_ant_rssi,sta_from_ap_0_sum_ant_rssi,sta_from_ap_1_sum_ant_rssi,sta_from_ap_2_sum_ant_rssi,sta_from_sta_0_rssi,sta_from_sta_1_rssi,seq_time,pro_pd_0,pro_ed_0,pro_nav_0,pro_pd_1,pro_ed_1,pro_nav_1,state,sinr
tcp,-86,-80.9978022,-83.67640449,-77.4765625,-78.93164557,-59.80653266,-74.98245614,-76.08,-61.11666667,-77,-65,,0.067245119,0,0.07826087,0.10745614,0.002192982,0.0969163,2,11.36968207
tcp,-86,-83.44591611,-85.03971963,-86.52411576,-66.19069767,-79.33256881,-92,-69.05,-82.22727273,-74,-66,,0.015283843,0.002183406,0.013129103,0.08254717,0,0.065759637,2,12.74218618
tcp,-86,-83.43167028,-80.39277652,-62.66129032,-83.25866667,-75,-65.9,-92,-76,-72,-78,,0.004149378,0,0.004273504,0.087527352,0.004376368,0.086859688,2,9.992257745
udp,-86,-80.9978022,-83.67640449,-77.4765625,-78.93164557,-59.80653266,-74.98245614,-76.08,-61.11666667,-77,-65,,0.067245119,0,0.07826087,0.10745614,0.002192982,0.0969163,2,11.36968207
udp,-86,-83.44591611,-85.03971963,-86.52411576,-66.19069767,-79.33256881,-92,-69.05,-82.22727273,-74,-66,,0.015283843,0.002183406,0.013129103,0.08254717,0,0.065759637,2,12.74218618
udp,-86,-83.43167028,-80.39277652,-62.66129032,-83.25866667,-75,-65.9,-92,-76,-72,-78,,0.004149378,0,0.004273504,0.087527352,0.004376368,0.086859688,2,9.992257745
tcp,-86,-78.49891068,-84.06681514,-77.06138107,-79.10617284,-60,-74.9,-75.86363636,-60.98333333,-77,-65,,0.364628821,0.004366812,0.137254902,0.065645514,0.002188184,0.047826087,2,11.36151243
tcp,-86,-83.03340757,-84.75534442,-86.26380368,-65.54929577,-80.35321101,-92,-68.93333333,-78.66666667,-74,-66,,0.015184382,0.002169197,0.006564551,0.071264368,0,0.062645012,2,9.536290082
tcp,-86,-82.8377193,-78.96728972,-62.86849315,-83.29679144,-75.13927577,-65.01666667,-92,-75.69642857,-72,-78,,0.008510638,0.00212766,0.008658009,0.123042506,0,0.123255814,2,10.5792101
tcp,-86,-78.15250545,-83.19153675,-76.34474328,-78.56363636,-59.71321696,-74.34210526,-75,-59.98333333,-77,-65,,0.318082789,0,0.220043573,0.085339168,0.006564551,0.052516411,2,11.66497352
tcp,-86,-82.65848214,-83.99277108,-86.16838488,-65.62412993,-80.97241379,-92,-69.21666667,-75,-74,-66,,0.013186813,0,0.004405286,0.097902098,0,0.087264151,2,5.697533341
tcp,-86,-82.04910714,-78.81279621,-62.50819672,-83.56476684,-75.47135417,-64,-82,-75.52542373,-72,-78,,0.010752688,0.004301075,0.013129103,0.128805621,0.004683841,0.111111111,2,10.64340166
udp,-86,-78.15250545,-83.19153675,-76.34474328,-78.56363636,-59.71321696,-74.34210526,-75,-59.98333333,-77,-65,,0.318082789,0,0.220043573,0.085339168,0.006564551,0.052516411,2,11.66497352
udp,-86,-82.65848214,-83.99277108,-86.16838488,-65.62412993,-80.97241379,-92,-69.21666667,-75,-74,-66,,0.013186813,0,0.004405286,0.097902098,0,0.087264151,2,5.697533341
udp,-86,-82.04910714,-78.81279621,-62.50819672,-83.56476684,-75.47135417,-64,-82,-75.52542373,-72,-78,,0.010752688,0.004301075,0.013129103,0.128805621,0.004683841,0.111111111,2,10.64340166
tcp,-86,-78.98241758,-82.5258427,-77.23484848,-78.05384615,-59.69541779,-74,-74.55,-58.96666667,-77,-65,,0.082969432,0.002183406,0.087527352,0.048565121,0,0.037362637,2,12.28933254
tcp,-86,-81.98855835,-83.20813397,-86.10526316,-66.00681818,-79.93598234,-92,-65.4,-76.125,-74,-66,,0.018018018,0,0.013574661,0.12037037,0,0.11971831,2,10.61415143
tcp,-86,-81.265625,-78.1291866,-62.73497268,-82.87272727,-75.0492228,-62.98333333,-92,-74.98245614,-72,-78,,0.006535948,0.006535948,0.006593407,0.171693735,0.004640371,0.167865707,2,11.91366533
tcp,-86,-77.04656319,-81.44071588,-76.58252427,-77.82901554,-60.68364611,-73.31666667,-92,-57.93333333,-77,-65,,0.270509978,0.00443459,0.561946903,0.063318777,0,0.059340659,2,15.32491799
tcp,-86,-80.80821918,-82.70967742,-85.86979167,-66.70880361,-80.86394558,-92,-66.4,-75.01785714,-74,-66,,0.020179372,0.002242152,0.006802721,0.089156627,0,0.083333333,2,8.531707119
tcp,-86,-80.84401709,-78.01927711,-61.455,-82.41219512,-74.60869565,-61.96666667,-92,-73.13559322,-72,-78,,0.004158004,0.002079002,0.006355932,0.128504673,0,0.233173077,2,11.11288136
udp,-86,-77.04656319,-81.44071588,-76.58252427,-77.82901554,-60.68364611,-73.31666667,-92,-57.93333333,-77,-65,,0.270509978,0.00443459,0.561946903,0.063318777,0,0.059340659,2,15.32491799
udp,-86,-80.80821918,-82.70967742,-85.86979167,-66.70880361,-80.86394558,-92,-66.4,-75.01785714,-74,-66,,0.020179372,0.002242152,0.006802721,0.089156627,0,0.083333333,2,8.531707119
udp,-86,-80.84401709,-78.01927711,-61.455,-82.41219512,-74.60869565,-61.96666667,-92,-73.13559322,-72,-78,,0.004158004,0.002079002,0.006355932,0.128504673,0,0.233173077,2,11.11288136
tcp,-86,-76.41324201,-81.61368653,-77.43877551,-78.16071429,-60.21173469,-73,-73.96296296,-56.7,-77,-65,,0.493150685,0.00456621,0.853881279,0.070175439,0.004385965,0.052631579,0,43.3
tcp,-86,-79.73831776,-81.59708738,-86.28691983,-67.18561485,-80.98444444,-92,-66.05,-75.01694915,-74,-66,,0.034482759,0.002298851,0.018648019,0.111111111,0,0.113253012,2,8.880816961
tcp,-86,-79.64113786,-77.01869159,-63.60869565,-83.13592233,-76.13354037,-60.6,-92,-73.55,-72,-78,,0.010940919,0.004376368,0.017467249,0.187782805,0,0.625581395,2,12.8883831
udp,-86,-76.41324201,-81.61368653,-77.43877551,-78.16071429,-60.21173469,-73,-73.96296296,-56.7,-77,-65,,0.493150685,0.00456621,0.853881279,0.070175439,0.004385965,0.052631579,0,43.3
udp,-86,-79.73831776,-81.59708738,-86.28691983,-67.18561485,-80.98444444,-92,-66.05,-75.01694915,-74,-66,,0.034482759,0.002298851,0.018648019,0.111111111,0,0.113253012,2,8.880816961
udp,-86,-79.64113786,-77.01869159,-63.60869565,-83.13592233,-76.13354037,-60.6,-92,-73.55,-72,-78,,0.010940919,0.004376368,0.017467249,0.187782805,0,0.625581395,2,12.8883831
tcp,-86,-74.48104265,-80.20620843,-77.35555556,-77.7960199,-60.19154229,-72.94915254,-74,-56.3,-77,-65,,0.943127962,0.004739336,0.971563981,0.070175439,0,0.055066079,0,43.7
tcp,-86,-78.60431655,-81.43835616,-85.79723502,-67.27058824,-79.74222222,-92,-65.5,-74.38596491,-74,-66,,0.035629454,0.004750594,0.09352518,0.089686099,0,0.082959641,2,8.811380811
tcp,-86,-77.87912088,-76.00229885,-61.89613527,-82.90510949,-74.40096618,-59.63333333,-92,-72.72413793,-72,-78,,0.136956522,0.002173913,0.398678414,0.572383073,0.004454343,0.956321839,2,13.03979579
udp,-86,-74.48104265,-80.20620843,-77.35555556,-77.7960199,-60.19154229,-72.94915254,-74,-56.3,-77,-65,,0.943127962,0.004739336,0.971563981,0.070175439,0,0.055066079,0,43.7
udp,-86,-78.60431655,-81.43835616,-85.79723502,-67.27058824,-79.74222222,-92,-65.5,-74.38596491,-74,-66,,0.035629454,0.004750594,0.09352518,0.089686099,0,0.082959641,2,8.811380811
udp,-86,-77.87912088,-76.00229885,-61.89613527,-82.90510949,-74.40096618,-59.63333333,-92,-72.72413793,-72,-78,,0.136956522,0.002173913,0.398678414,0.572383073,0.004454343,0.956321839,2,13.03979579
tcp,-86,-74.83213429,-79.87527352,-77.30555556,-78.1061008,-59.82908163,-72.3,-72.98214286,-55.03333333,-77,-65,,0.944976077,0.002392344,0.96875,0.071274298,0.004319654,0.05399568,0,44.96666667
tcp,-86,-77.77884615,-80.28960396,-85.57746479,-67.22327791,-81.10454545,-92,-63.65,-73.7,-74,-66,,0.276190476,0,0.512019231,0.104622871,0,0.105651106,2,9.986233572
tcp,-86,-78.13478261,-74.45862884,-61.62,-83.02216749,-74.56009615,-58.41666667,-92,-72.01666667,-72,-78,,0.044776119,0.004264392,0.335511983,0.913043478,0.00228833,0.969267139,1,13.55662093
udp,-86,-74.83213429,-79.87527352,-77.30555556,-78.1061008,-59.82908163,-72.3,-72.98214286,-55.03333333,-77,-65,,0.944976077,0.002392344,0.96875,0.071274298,0.004319654,0.05399568,0,44.96666667
udp,-86,-77.77884615,-80.28960396,-85.57746479,-67.22327791,-81.10454545,-92,-63.65,-73.7,-74,-66,,0.276190476,0,0.512019231,0.104622871,0,0.105651106,2,9.986233572
udp,-86,-78.13478261,-74.45862884,-61.62,-83.02216749,-74.56009615,-58.41666667,-92,-72.01666667,-72,-78,,0.044776119,0.004264392,0.335511983,0.913043478,0.00228833,0.969267139,1,13.55662093
tcp,-86,-72.99294118,-80.01096491,-76.52141058,-78.33170732,-60.35340314,-70.73333333,-72.94915254,-54.8,-77,-65,,0.985882353,0,0.976470588,0.063180828,0.004357298,0.06768559,0,45.2
tcp,-86,-77.70257611,-80.17794486,-85.60640732,-67.02528736,-79.367713,-92,-63.86666667,-73.27118644,-74,-66,,0.144186047,0,0.587822014,0.109756098,0,0.112219451,2,9.346708944
tcp,-86,-77.16740088,-73.70644391,-61.99,-82.6937799,-74.66748166,-57.45,-76,-71,-72,-78,,0.362850972,0.004319654,0.720879121,0.933486239,0,0.959427208,1,12.35668952
tcp,-86,-73.04796163,-78.12307692,-76.62842893,-77.3159204,-60.22857143,-69,-71.76666667,-52.71666667,-77,-65,,0.995203837,0,0.983213429,0.156043956,0.004395604,0.190789474,0,47.28333333
tcp,-86,-76.50956938,-78.51674641,-85.18693694,-66.78636364,-79.54504505,-92,-62.95,-72.2745098,-74,-66,,0.674584323,0,0.868735084,0.142517815,0,0.126794258,0,37.05
