,protocol,nav,ap_from_other_sum_ant_rssi,sta_to_self_sum_ant_rssi,sta_to_other_sum_ant_rssi,sta_from_self_sum_ant_rssi,sta_from_other_sum_ant_rssi,sta_from_sta_rssi,nss,mcs,per,seq_time,pro_pd,pro_ed,pro_nav,state,phy,ppdu_dur
1,1,-82,-84.4047619,-57.6097561,-86.6,-61.2,-92,-85,2,11,0.03,49.74,0,0,0,1,286.8,0.003929289
3,0,-82,-84.4047619,-57.6097561,-86.6,-61.2,-92,-85,2,11,0.01,51.5,0,0,0,1,286.8,0.003835147
5,1,-82,-83.39130435,-59.21428571,-83.77272727,-60.25,-92,-85,2,11,0.02,50.56,0.06122449,0,0,1,286.8,0.004397205
7,0,-82,-83.39130435,-59.21428571,-83.77272727,-60.25,-92,-85,2,11,0.02,51.65,0.06122449,0,0,1,286.8,0.004237925
9,1,-82,-82.83333333,-57.86363636,-86.64705882,-59.625,-92,-85,2,11,0.03,48.47,0.04,0,0,1,286.8,0.003938199
11,0,-82,-82.83333333,-57.86363636,-86.64705882,-59.625,-92,-85,2,11,0.01,51.37,0.04,0,0,1,286.8,0.003939789
13,1,-82,-82.13333333,-57.81818182,-85.66666667,-58.525,-92,-85,2,11,0.05,49.35,0.054545455,0,0,1,286.8,0.004333691
15,0,-82,-82.13333333,-57.81818182,-85.66666667,-58.525,-92,-85,2,11,0.02,51.16,0.054545455,0,0,1,286.8,0.004185673
17,1,-82,-82.13636364,-58.12765957,-84.15,-57.775,-92,-85,2,11,0.04,49.3,0.021276596,0,0,1,286.8,0.003778546
19,0,-82,-82.13636364,-58.12765957,-84.15,-57.775,-92,-85,2,11,0.02,50.83,0.021276596,0,0,1,286.8,0.003820083
21,1,-82,-81.26190476,-57.35714286,-83.23529412,-55.975,-86,-85,2,11,0.04,49.14,0.019230769,0,0,1,286.8,0.004174248
23,0,-82,-81.26190476,-57.35714286,-83.23529412,-55.975,-86,-85,2,11,0.02,50.9,0.019230769,0,0,1,286.8,0.004201758
25,1,-82,-81.68085106,-59.61904762,-84.85,-54.625,-92,-85,2,11,0.02,48.58,0.041666667,0,0,1,286.8,0.003765349
27,0,-82,-81.68085106,-59.61904762,-84.85,-54.625,-92,-85,2,11,0.03,50.41,0.041666667,0,0,1,286.8,0.002536169
29,1,-82,-79.39534884,-58.17073171,-84.89473684,-54,-85.7,-85,2,11,0.03,49.75,0.08,0,0.023255814,1,286.8,0.004153833
31,0,-82,-79.39534884,-58.17073171,-84.89473684,-54,-85.7,-85,2,11,0.01,50.97,0.08,0,0.023255814,1,286.8,0.004202925
33,1,-82,-78.28571429,-58.55,-84,-53.025,-84.5,-85,2,11,0.02,49.4,0.08,0,0.023809524,1,286.8,0.003727826
35,0,-82,-78.28571429,-58.55,-84,-53.025,-84.5,-85,2,11,0.01,51.81,0.08,0,0.023809524,1,286.8,0.002528574
37,1,-82,-77.1,-58.23913043,-85.68421053,-51.95,-85.45945946,-85,2,11,0.02,48.89,0.104166667,0,0.025,1,286.8,0.004051315
39,0,-82,-77.1,-58.23913043,-85.68421053,-51.95,-85.45945946,-85,2,11,0.01,51.76,0.104166667,0,0.025,1,286.8,0.004180842
41,1,-82,-76.90909091,-58.06666667,-84.91666667,-51,-82.725,-85,2,11,0.02,49.2,0.134615385,0,0,1,286.8,0.002452329
43,0,-82,-76.90909091,-58.06666667,-84.91666667,-51,-82.725,-85,2,11,0.01,51.54,0.134615385,0,0,1,286.8,0.00249394
45,1,-82,-76.38461538,-58.775,-83.94736842,-50.55,-76.675,-85,2,11,0.04,48.73,0.239130435,0,0,1,286.8,0.004188388
47,0,-82,-76.38461538,-58.775,-83.94736842,-50.55,-76.675,-85,2,11,0.01,51.74,0.239130435,0,0,1,286.8,0.004191925
49,1,-82,-76.30769231,-57.86666667,-83.6875,-48.975,-76.28205128,-85,2,11,0.05,49.51,0.553191489,0,0,2,286.8,0.002438228
51,0,-82,-76.30769231,-57.86666667,-83.6875,-48.975,-76.28205128,-85,2,11,0.01,51.64,0.553191489,0,0,2,286.8,0.003832592
53,1,-82,-75.29787234,-58.82051282,-79.61538462,-47.975,-76,-85,2,11,0.02,43.89,0.773584906,0,0.042553191,2,286.8,0.004170424
55,0,-82,-75.29787234,-58.82051282,-79.61538462,-47.975,-76,-85,2,11,0.01,45.73,0.773584906,0,0.042553191,2,286.8,0.004060075
57,1,-82,-74.4,-57.19444444,-78.2,-46.05,-76.425,-85,2,11,0.02,36.5,0.843137255,0,0.222222222,2,286.8,0.002435576
59,1,-82,-72.51351351,-58.02439024,-81.15384615,-46.25,-75.7,-85,2,11,0.03,35.32,0.837209302,0.023255814,0.888888889,0,286.8,0.002511593
61,0,-82,-72.51351351,-58.02439024,-81.15384615,-46.25,-75.7,-85,2,11,0.02,30.79,0.837209302,0.023255814,0.888888889,0,286.8,0.004189146
63,1,-82,-72.65217391,-59.38095238,-81.78571429,-45.225,-75.38461538,-85,2,11,0.02,32.01,0.9,0,0.847826087,0,286.8,0.004178565
65,0,-82,-72.65217391,-59.38095238,-81.78571429,-45.225,-75.38461538,-85,2,11,0.05,28.9,0.9,0,0.847826087,0,286.8,0.002425685
67,1,-82,-71.88636364,-57.7804878,-80.6,-44.05,-75.05,-85,2,11,0.02,29.47,0.823529412,0,0.863636364,0,286.8,0.003868268
69,0,-82,-71.88636364,-57.7804878,-80.6,-44.05,-75.05,-85,2,11,0.02,27.81,0.823529412,0,0.863636364,0,286.8,0.004187113
71,1,-82,-70.75,-58.62790698,-80.76470588,-43.25,-74.975,-85,2,11,0.02,29.44,0.847826087,0,0.925,0,286.8,0.004253374
73,0,-82,-70.75,-58.62790698,-80.76470588,-43.25,-74.975,-85,2,11,0.03,30.34,0.847826087,0,0.925,0,286.8,0.003822863
75,1,-82,-69.46511628,-56.75,-83.31578947,-42.375,-73.4,-85,2,11,0.03,26.85,0.823529412,0,0.976190476,0,286.8,0.003865324
77,0,-82,-69.46511628,-56.75,-83.31578947,-42.375,-73.4,-85,2,11,0.02,28.14,0.823529412,0,0.976190476,0,286.8,0.004171741
79,1,-82,-69.36363636,-58.52631579,-79.45454545,-40.725,-73.25,-85,2,11,0.03,27.73,0.857142857,0,0.909090909,0,286.8,0.004282443
81,0,-82,-69.36363636,-58.52631579,-79.45454545,-40.725,-73.25,-85,2,11,0.02,27.16,0.857142857,0,0.909090909,0,286.8,0.002443953
1,1,-86,-83.25274725,-57.1686747,-86.55932203,-55.95,-92,-85,2,11,0.02,48.72,0,0,0,1,286.8,0.003898268
3,0,-86,-83.25274725,-57.1686747,-86.55932203,-55.95,-92,-85,2,11,0.03,50.99,0,0,0,1,286.8,0.004170347
5,1,-86,-81.43902439,-57.7,-85.95588235,-54.275,-92,-85,2,11,0.03,49.02,0.022988506,0.011494253,0.024096386,1,286.8,0.004289854
7,0,-86,-81.43902439,-57.7,-85.95588235,-54.275,-92,-85,2,11,0.01,50.67,0.022988506,0.011494253,0.024096386,1,286.8,0.003783921
9,1,-86,-80.29885057,-56.2125,-86.43421053,-52.9,-85,-85,2,11,0.03,48.4,0.033707865,0,0.022988506,1,286.8,0.003835843
